メニュー名,模擬店名,含まれるアレルギー,混入の可能性,注記
クレープ チョコ,3A グランメゾン神戸,"小麦,卵,乳,大豆","アーモンド,キウイフルーツ,もも,りんご",
クレープ いちご,3A グランメゾン神戸,"小麦,卵,乳,大豆","アーモンド,キウイフルーツ,もも,りんご",
クレープ キャラメル,3A グランメゾン神戸,"小麦,卵,乳,大豆",,トッピングのミニドーナツには蜂蜜を使用しています。1歳未満の乳児には絶対に与えないでください。
クレープ まっちゃ,3A グランメゾン神戸,"小麦,卵,乳,大豆",,
たこ焼き ソース,3B 姫のB宮たこ焼き,"小麦,卵,乳,大豆,豚肉,りんご,ゼラチン",さば,使用しているタコはえび、かにを食べています。
たこ焼き 明太マヨ,3B 姫のB宮たこ焼き,"えび,小麦,卵,乳,大豆,豚肉,りんご,ゼラチン",,
たこ焼き タルタル,3B 姫のB宮たこ焼き,"小麦,卵,乳,大豆,豚肉,ゼラチン",,
油そば,3C 浅羽のそばに油そば,"小麦,卵,乳,大豆,鶏肉,豚肉",そば,トッピングの のり は「えび」「かに」が混ざる漁法で採取しています。
フライドチキン,3D イワタッキーフライドチキン(IFC),"小麦,大豆,鶏肉","卵,乳,ごま,豚肉,やまいも",
ふりふりシーズニングパウダー,3D イワタッキーフライドチキン(IFC),豚肉,,セルフサービスです。
チュロス プレーン,3E ETO CHURROS,"小麦,卵,乳,あわび,大豆",,
チュロス チョコ,3E ETO CHURROS,"小麦,卵,乳,あわび,大豆",,
チュロス いちご,3E ETO CHURROS,"小麦,卵,乳,あわび,大豆",,
チュロス シナモン,3E ETO CHURROS,"小麦,卵,乳,あわび,大豆",,
チュロス 抹茶,3E ETO CHURROS,"小麦,卵,乳,あわび,大豆",,
焼き鳥 もも,3F 令和の鳥,"小麦,大豆,鶏肉","えび,卵,乳,牛肉,ごま,やまいも,りんご",
焼き鳥 皮,3F 令和の鳥,"小麦,大豆,鶏肉","えび,卵,ごま,豚肉,りんご",
焼き鳥 つくね,3F 令和の鳥,"小麦,大豆,鶏肉","卵,乳,オレンジ,ごま,りんご,ゼラチン",
焼き鳥 ねぎ間,3F 令和の鳥,鶏肉,"小麦,卵,乳,オレンジ,ごま,りんご,ゼラチン",
たれ,3F 令和の鳥,"小麦,大豆","卵,乳,牛肉,ごま,鶏肉,もも,りんご,ゼラチン",
ワッフル ココア,3G Mrs.GREEN's WAFFLE,"小麦,卵,乳,大豆",,
ワッフル 抹茶,3G Mrs.GREEN's WAFFLE,"小麦,卵,乳,大豆",,
ワッフル メープル,3G Mrs.GREEN's WAFFLE,"くるみ,小麦,卵,乳,アーモンド,カシューナッツ,大豆",,
